"노선","기종점","순번","정류장명","X7","X8","X9","X17","X18","X19"
507,"시흥동차고지(기점가상) - 시흥동차고지(가상)",18,"독산3동주민센터",1.675,1.83,1.19,0.52,0.5,0.565
741,"진관공영차고지 - 진관공영차고지",17,"안산초등학교",1.385,1.63,1.235,0.415,0.38,0.215
140,"도봉산역광역환승센터 - 도봉산역광역환승센터",25,"명륜3가.성대입구",1.225,1.57,1.125,0.605,0.56,0.405
463,"대흥교통(기점가상) - 도로교통공단서울지부.코트라",85,"역삼역6번출구",1.41,1.53,1.36,0.615,0.975,0.7
421,"대흥교통(기점가상) - 도로교통공단서울지부.코트라",16,"한남대교전망카페",0.58,0.62,0.43,1.1,1.505,1.14
