"x"
"X18"
"X8"
"X17"
"X16"
"X7"
"X19"
"X15"
"X9"
"X14"
"X13"
"X12"
"X20"
"X21"
"X22"
"X10"
"X11"
"X6"
"X23"
"X5"
"X4"
"X0"
"X1"
"X2"
"X3"
